id,NAME,LIGHT-YEARS FROM EARTH,PLANET MASS,STELLAR MAGNITUDE,DISCOVERY DATE
0,4 Ursae Majoris b,240,7.1 Jupiters,4.5801,2006
1,4 Ursae Majoris b,240,7.1 Jupiters,4.5801,2006
2,4 Ursae Majoris b,240,7.1 Jupiters,4.5801,2006
3,4 Ursae Majoris b,240,7.1 Jupiters,4.5801,2006
4,4 Ursae Majoris b,240,7.1 Jupiters,4.5801,2006
5,4 Ursae Majoris b,240,7.1 Jupiters,4.5801,2006
6,4 Ursae Majoris b,240,7.1 Jupiters,4.5801,2006
7,4 Ursae Majoris b,240,7.1 Jupiters,4.5801,2006
8,4 Ursae Majoris b,240,7.1 Jupiters,4.5801,2006
9,4 Ursae Majoris b,240,7.1 Jupiters,4.5801,2006
